date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1988-04-14,02:20:05.90,1.49,126.17,41.3,5.7,210,27,-148,91,76,-67,3.95E+024,24,,,,,,
1988-04-19,19:10:51.30,3.95,126.98,17,5.6,185,30,91,3,60,89,3.43E+024,24,,,,,,
1988-05-10,10:04:12.20,-7.23,123.88,586.2,5.3,244,42,-98,75,48,83,1.03E+024,23,,,,,,
1988-06-23,04:11:10.50,2.23,126.65,60.1,5.5,48,39,82,239,51,97,2.27E+024,24,,,,,,
1988-07-16,06:05:09.00,3.46,126.65,15,5.6,344,47,-152,234,69,-46,3.71E+024,24,,,,,,
1988-07-16,08:34:27.10,-6.7,120.92,453.8,5.6,256,41,-95,83,49,-86,3.41E+024,24,,,,,,
1988-07-20,05:13:51.10,1.78,126.27,60.5,5.3,358,49,51,229,54,126,1.19E+024,24,,,,,,
1988-08-13,05:46:14.40,4.65,125.6,138.7,5.7,276,40,-150,162,71,-54,5.2E+024,24,,,,,,
1988-08-17,23:09:37.20,1.51,125.21,29.6,5.1,56,60,8,322,83,149,6.46E+023,23,,,,,,
1988-09-26,13:31:13.20,-0.36,125.09,41.5,5.6,259,57,144,10,61,39,2.69E+024,24,,,,,,
1988-10-08,21:32:07.60,4.33,126.98,18.1,5.9,10,42,82,200,48,97,9.31E+024,24,,,,,,
1988-10-09,04:16:57.50,4.2,126.74,19.7,5.3,200,42,109,355,51,73,1.19E+024,24,,,,,,
1988-10-27,15:07:26.10,-6.92,120.63,615.6,5.7,61,44,-89,239,46,-91,4.86E+024,24,,,,,,
1988-10-28,10:38:02.60,-0.27,122.51,66.1,5.5,85,81,177,176,87,9,2.37E+024,24,,,,,,
1988-11-07,23:15:48.60,2.47,126.78,56.3,5.9,97,37,-72,255,55,-103,9.49E+024,24,,,,,,
