#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
121.361 -1.314 20.0 1.9682 0.0672406 -2.03544 -0.68233 -0.1727 -0.52935 25.0 X Y 162 R
121.3 -1.26 15.0 2.271 0.069457 -2.34045 -0.767007 -0.199219 -0.60133 25.0 X Y 163 R
123.2 -1.16 34.0 1.02427 1.74101 -2.76528 -1.33539 0.329137 -0.433768 23.0 X Y 164 SS-R
121.03 1.51 41.8 1.15236 -1.01357 -0.138789 -1.87928 0.294688 0.45396 24.0 X Y 165 R
123.97 -0.81 41.4 -0.25972 0.0717072 0.188013 -0.442525 -1.53664 -5.38625 23.0 X Y 166 SS
124.95 -1.61 26.2 0.21203 1.14997 -1.362 -0.752733 -0.573782 -0.0694611 24.0 X Y 167 SS-R
123.98 -1.64 30.0 0.21203 1.14997 -1.362 -0.752733 -0.573782 -0.0694611 24.0 X Y 168 SS-R
121.27 -2.88 33.0 -2.84806 2.80527 0.0427823 -2.77289 0.148772 -0.382693 23.0 X Y 169 N
121.94 -7.86 15.0 2.61152 -1.67528 -0.936238 5.23013 -5.36441 1.30882 23.0 X Y 170 R
125.96 -3.54 35.0 0.0658158 -2.28036 2.21454 -0.425437 0.918281 1.36556 23.0 X Y 171 SS
123.08 0.67 9.4 0.83151 -0.895213 0.0637029 -0.831524 -0.329256 0.668569 23.0 X Y 172 R-SS
125.5 -2.44 43.0 4.7733 -1.26981 -3.50348 2.28499 -0.0822465 2.83888 23.0 X Y 173 R
125.081 -2.074 15.0 2.49975 -0.689664 -1.81008 1.21162 -0.0506005 1.49622 24.0 X Y 174 R
123.2 -7.63 33.0 1.2085 -2.27912 1.07062 1.46218 -1.34294 -0.318247 23.0 X Y 175 R-SS
124.9 -6.69 33.0 -0.311991 -0.260688 0.572679 -0.823016 -0.294047 0.498475 24.0 X Y 176 N-SS
124.65 0.81 33.0 0.128275 -3.82316 3.69488 -0.799136 1.03133 -0.0641375 23.0 X Y 177 SS
122.5 -5.9 33.0 1.96375 -0.529701 -1.43405 -0.219327 -0.273201 -0.87271 23.0 X Y 178 R
122.7 -5.06 17.9 1.96375 -0.529701 -1.43405 -0.219327 -0.273201 -0.87271 23.0 X Y 179 R
120.43 4.8 25.0 3.91294 -1.43541 -2.47753 0.0958617 -0.653687 1.91248 23.0 X Y 180 R
120.02 -2.88 33.0 3.48741 -1.27931 -2.20811 0.0854369 -0.582599 1.7045 22.0 X Y 181 R
125.87 -2.8 20.0 -1.09326 1.07948 0.0137812 -0.00622862 -0.178364 -0.216169 24.0 X Y 182 N
126.101 -3.389 10.0 -1.21262 1.19733 0.0152858 -0.00690863 -0.197837 -0.23977 24.0 X Y 183 N
124.8 -6.6 33.0 -0.2327 3.88196 -3.64926 0.49907 -1.09997 -0.411728 23.0 X Y 184 SS
126.596 -2.006 15.0 -5.38862 5.38862 4.72089e-16 -1.14539 3.12164 3.8549 23.0 X Y 185 N-SS
122.3 -5.9 33.0 2.39231 0.0551711 -2.44749 0.939303 -0.37103 -1.03205 26.0 X Y 186 R-SS
122.174 -5.652 11.6 4.88448 0.076574 -4.96105 1.95607 -0.65243 -2.15016 25.0 X Y 187 R-SS
122.41 -5.62 20.2 2.70755 -0.250542 -2.45701 -0.17849 0.759655 0.786822 23.0 X Y 188 R
126.5 -2.8 18.7 3.06414 -0.549109 -2.51503 -0.230636 -0.739915 -1.17958 24.0 X Y 189 R
125.9 -2.8 33.0 -0.888397 1.12242 -0.234022 0.167674 -0.77227 -0.564647 23.0 X Y 190 N-SS
123.7 -5.4 30.0 -3.57165 3.79774 -0.226094 -3.71053 1.02482 1.78583 23.0 X Y 191 N-SS
123.733 -7.862 15.0 0.735975 -2.44989 1.71391 -0.0947958 -2.7146 -4.17055 23.0 X Y 192 SS-R
117.898 1.57 15.0 1.53571 -1.19601 -0.339701 -0.364278 0.134841 0.639447 24.0 X Y 193 R
