date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt
1994/05/19,23:41:47.700,-7.71,124.88,33,5.3,41,37,56,261,60,113,1.09e+24,23,,,,,,
1994/05/20,04:38:37.600,-7.71,125.14,33,5.5,46,32,76,242,59,98,1.95e+24,24,,,,,,
1994/09/26,21:31:27.100,-2.56,126.9,42.5,5.4,42,41,-6,136,86,-131,1.52e+24,24,,,,,,
1994/11/26,11:21:00.500,-0.4,124.1,35,5.5,180,38,12,80,82,127,,,,,,,,
1994/12/07,23:08:33,-2.97,119.81,33,5.3,216,68,177,308,87,22,1.13e+24,24,,,,,,
1994/12/08,08:30:27.400,2,120.8,39,5.1,39,73,-3,130,88,-163,,,,,,,,
1994/12/08,08:30:27.640,1.965,120.858,30,5.65,130,88,-163,39,73,-3,3.62,17,"3.52","0.63","-0.27","-0.86","-0.69",-3.26
1995/05/01,00:29:37.500,-1.6,121.1,50,5.2,142,74,16,47,74,163,,,,,,,,
1995/05/01,00:29:44.100,-0.25,121,43.2,5.2,142,74,16,47,74,163,7.02e+23,23,,,,,,
1995/05/19,21:29:58.500,-1.1,120.2,30,5.8,129,29,-58,274,65,-160,,,,,,,,
1995/06/12,00:16:38.500,-2.7,121.3,30,4.8,24,81,178,114,88,9,,,,,,,,
1995/06/12,00:16:46.380,-2.369,121.183,35,5.23,24,81,178,114,88,9,8.9,16,"-6.54","-0.23","-0.04","1.46","5.82",6.59
1995/06/12,00:16:48.500,-1.89,121.93,49,5.2,24,81,178,114,88,9,8.9e+23,23,,,,,,
1995/07/25,15:32:53.100,-1.99,125.48,33,5.3,280,70,-5,11,85,-160,1.3e+24,24,,,,,,
1995/09/13,01:15:58.700,0.46,123.61,33,5,109,57,-24,212,70,-145,4.62e+23,23,,,,,,
1995/09/13,01:16:05.300,0.451,123.473,47.5,5.04,109,57,-24,212,70,-145,4.62,16,"-1.85","1.59","-2.29","0.51","2.63",4.15
1995/11/08,16:01:22.820,1.241,121.618,28,5.95,9,53,-87,185,37,-93,1.04,18,"1.03","-0.28","-0.94","-0.07","0.14",-0.09
1995/11/08,16:01:24.900,0.6,122,35,5.5,185,37,-93,9,53,-87,,,,,,,,
