date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,cluster
25-08-10,55:54.2,-0.88,124.84,36.2,5.1,161,34,83,350,56,95,5.17e+23,23.0,,,,,,,-1
17-05-12,50:05.0,-2.67,122.02,10.0,5.1,132,68,-2,223,88,-158,,,,,,,,,-1
02-02-14,59:24.1,-1.25,126.26,18.3,5.1,352,29,-82,163,61,-94,5.4e+23,23.0,,,,,,,-1
15-01-15,09:24.8,0.158,120.026,35.0,5.1,174,19,-143,49,79,-75,5.69,16.0,2.41,-3.08,-2.16,-4.06,1.06,-0.25,-1
31-01-18,00:32.6,-7.871,118.823,23.9,5.1,77,70,1,347,89,160,5.62,16.0,3.21,2.11,-1.44,0.5,4.65,-1.77,-1
21-05-19,42:47.2,1.16,122.16,46.4,5.1,93,39,92,270,51,88,5.3e+23,23.0,,,,,,,-1
04-09-19,09:46.9,-0.21,126.01,27.8,5.1,83,47,124,218,52,59,5.3e+23,23.0,,,,,,,-1
21-12-04,01:19.6,-7.892,125.174,17.5,5.11,49,73,-174,317,84,-17,5.82,16.0,-5.74,-2.03,0.56,0.51,-0.49,5.18,-1
17-06-10,35:33.4,-1.202,123.749,28.5,5.11,218,61,158,319,71,30,5.74,16.0,-5.59,0.65,1.74,-2.83,0.15,3.85,-1
03-02-90,43:38.7,-2.946,126.311,25.0,5.12,61,62,29,316,64,148,6.13,16.0,3.46,3.09,2.38,0.26,1.46,-5.84,-1
03-02-90,27:31.1,-2.134,125.162,22.1,5.12,71,62,-21,171,72,-150,5.93,16.0,2.88,2.32,-1.38,-2.52,4.21,-1.5,-1
05-03-02,40:50.9,0.692,119.836,35.0,5.13,100,37,-165,358,81,-54,6.24,16.0,0.08,-5.07,-1.54,-2.17,-3.32,1.46,-1
23-07-02,35:51.7,-0.012,123.963,24.6,5.13,199,50,-5,292,86,-140,6.31,16.0,3.46,-0.89,-0.39,4.06,-3.46,-3.08,-1
