"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
"// "
// Grovudalen Foliations
"// Partial data set of 625 strike and dips of foliations in gneisses, "
"// Grovudalen, Western Gneiss Region, Norway (Vollmer, 1985)."
"// "
"// Vollmer, F.W., 1985, A structural study of the Grovudal fold-nappe, western "
"// Norway: PhD thesis, University of Minnesota, Minneapolis, Advisor P.J. "
"// Hudleston, 233 p. "
"// "
// -------------------------------------------------------------------------------------
Easting,Northing,Strike,Dip,Type
979.000,291.000,194.0,62.0,S
972.000,292.000,187.0,86.0,S
974.000,298.000,204.0,84.0,S
972.000,298.000,202.0,75.0,S
988.000,155.000,258.0,66.0,S
982.000,158.000,248.0,62.0,S
987.000,158.000,272.0,83.0,S
985.000,161.000,275.0,77.0,S
981.000,161.000,266.0,80.0,S
981.000,161.000,81.0,76.0,S
986.000,165.000,278.0,85.0,S
985.000,168.000,270.0,90.0,S
985.000,171.000,76.0,56.0,S
984.000,174.000,73.0,65.0,S
983.000,176.000,94.0,75.0,S
989.000,180.000,97.0,79.0,S
988.000,184.000,97.0,75.0,S
986.000,186.000,106.0,80.0,S
987.000,187.000,139.0,82.0,S
984.000,190.000,116.0,80.0,S
986.000,191.000,92.0,56.0,S
984.000,196.000,99.0,72.0,S
981.000,200.000,344.0,78.0,S
986.000,201.000,87.0,74.0,S
983.000,202.000,304.0,77.0,S
982.000,203.000,63.0,62.0,S
982.000,203.000,63.0,64.0,S
989.000,204.000,52.0,70.0,S
980.000,205.000,343.0,81.0,S
983.000,205.000,58.0,60.0,S
987.000,206.000,96.0,82.0,S
987.000,207.000,302.0,80.0,S
989.000,207.000,101.0,81.0,S
985.000,211.000,295.0,90.0,S
982.000,212.000,82.0,65.0,S
981.000,212.000,7.0,73.0,S
984.000,214.000,72.0,75.0,S
989.000,215.000,207.0,90.0,S
985.000,218.000,40.0,81.0,S
989.000,219.000,71.0,61.0,S
984.000,221.000,32.0,66.0,S
988.000,227.000,189.0,86.0,S
982.000,227.000,9.0,60.0,S
989.000,229.000,182.0,76.0,S
982.000,233.000,27.0,70.0,S
989.000,236.000,162.0,69.0,S
980.000,250.000,40.0,83.0,S
981.000,253.000,20.0,78.0,S
983.000,253.000,2.0,57.0,S
981.000,255.000,19.0,78.0,S
980.000,261.000,172.0,70.0,S
980.000,263.000,188.0,83.0,S
981.000,266.000,183.0,88.0,S
981.000,271.000,156.0,58.0,S
987.000,273.000,187.0,70.0,S
983.000,275.000,209.0,88.0,S
981.000,277.000,168.0,63.0,S
989.000,279.000,208.0,76.0,S
981.000,279.000,175.0,63.0,S
982.000,284.000,197.0,74.0,S
988.000,286.000,201.0,44.0,S
983.000,288.000,200.0,80.0,S
980.000,299.000,170.0,66.0,S
998.000,153.000,304.0,56.0,S
994.000,155.000,280.0,70.0,S
992.000,160.000,289.0,58.0,S
992.000,161.000,305.0,84.0,S
995.000,162.000,301.0,79.0,S
995.000,166.000,291.0,78.0,S
994.000,170.000,276.0,70.0,S
995.000,172.000,286.0,73.0,S
997.000,175.000,297.0,84.0,S
997.000,177.000,296.0,57.0,S
991.000,177.000,104.0,82.0,S
996.000,180.000,108.0,84.0,S
995.000,183.000,82.0,65.0,S
997.000,185.000,108.0,85.0,S
998.000,186.000,264.0,81.0,S
995.000,198.000,112.0,64.0,S
995.000,198.000,111.0,72.0,S
997.000,202.000,114.0,30.0,S
993.000,204.000,93.0,58.0,S
992.000,205.000,7.0,73.0,S
995.000,207.000,137.0,64.0,S
996.000,211.000,161.0,78.0,S
998.000,212.000,137.0,58.0,S
995.000,215.000,161.0,71.0,S
998.000,218.000,152.0,54.0,S
999.000,219.000,11.0,74.0,S
991.000,219.000,162.0,76.0,S
991.000,220.000,162.0,66.0,S
990.000,223.000,169.0,76.0,S
990.000,239.000,81.0,60.0,S
996.000,240.000,143.0,49.0,S
990.000,241.000,142.0,68.0,S
990.000,250.000,175.0,70.0,S
992.000,251.000,156.0,60.0,S
996.000,251.000,161.0,56.0,S
998.000,253.000,154.0,48.0,S
994.000,257.000,116.0,70.0,S
990.000,257.000,175.0,68.0,S
996.000,258.000,159.0,58.0,S
990.000,264.000,172.0,89.0,S
998.000,266.000,182.0,45.0,S
997.000,268.000,172.0,55.0,S
992.000,273.000,188.0,61.0,S
995.000,274.000,179.0,68.0,S
993.000,281.000,187.0,68.0,S
993.000,281.000,187.0,69.0,S
990.000,286.000,194.0,56.0,S
995.000,287.000,199.0,73.0,S
998.000,297.000,194.0,53.0,S
1005.000,152.000,324.0,52.0,S
1007.000,157.000,314.0,54.0,S
1004.000,163.000,315.0,76.0,S
1003.000,166.000,109.0,89.0,S
1003.000,171.000,125.0,88.0,S
1008.000,174.000,118.0,73.0,S
1004.000,175.000,321.0,74.0,S
1009.000,179.000,114.0,75.0,S
1006.000,183.000,113.0,60.0,S
1001.000,189.000,354.0,68.0,S
1001.000,189.000,46.0,85.0,S
1002.000,216.000,134.0,50.0,S
1006.000,223.000,166.0,52.0,S
1009.000,225.000,165.0,65.0,S
1008.000,227.000,158.0,59.0,S
1007.000,230.000,144.0,49.0,S
1009.000,235.000,141.0,40.0,S
1007.000,241.000,148.0,36.0,S
1002.000,241.000,157.0,27.0,S
1002.000,254.000,156.0,55.0,S
1000.000,259.000,157.0,43.0,S
1003.000,261.000,161.0,45.0,S
1003.000,267.000,169.0,44.0,S
1007.000,267.000,182.0,42.0,S
1009.000,269.000,192.0,30.0,S
1001.000,269.000,181.0,63.0,S
1009.000,272.000,209.0,45.0,S
1009.000,286.000,209.0,35.0,S
1000.000,287.000,198.0,58.0,S
1007.000,287.000,200.0,60.0,S
1007.000,287.000,200.0,59.0,S
1003.000,296.000,195.0,58.0,S
