date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,corepoint
1989-03-08,02:34:27.72,-0.053,124.924,35.0,5.85,11.0,74.0,77.0,232.0,21.0,129.0,7.32,17.0,-2.73,6.06,4.12,0.48,-1.96,-1.39,c
1989-03-08,11:44:34.30,1.166,126.181,34.9,6.03,222.0,46.0,101.0,26.0,45.0,79.0,1.38,18.0,-0.92,0.1,1.42,-0.2,-0.55,-0.49,c
1989-03-12,06:59:09.30,2.46,126.72,24.3,5.2,232.0,47.0,134.0,358.0,58.0,54.0,6.97e+23,23.0,,,,,,,c
1989-04-16,06:50:26.61,1.076,120.139,29.0,5.52,260.0,69.0,114.0,28.0,31.0,43.0,2.37,17.0,-0.36,0.07,1.44,-1.66,-1.08,-1.08,c
1989-04-20,06:53:32.50,3.07,126.43,33.3,5.4,163.0,22.0,56.0,19.0,72.0,103.0,1.6999999999999998e+24,24.0,,,,,,,c
1989-05-08,06:20:03.20,-0.04,126.09,33.0,5.4,355.0,17.0,85.0,181.0,73.0,92.0,1.62e+24,24.0,,,,,,,c
1989-05-21,19:23:47.90,2.81,126.49,15.0,5.4,323.0,27.0,69.0,166.0,65.0,100.0,1.6e+24,24.0,,,,,,,c
1989-05-21,19:30:04.13,2.644,126.788,35.0,5.61,315.0,80.0,57.0,211.0,34.0,163.0,3.22,17.0,-2.15,1.45,0.91,-2.19,0.26,1.25,c
1989-07-14,20:42:48.40,-7.86,125.41,36.4,6.6,67.0,33.0,103.0,232.0,58.0,82.0,1.08e+26,25.0,,,,,,,c
1989-08-06,07:43:39.40,0.96,126.0,36.0,5.2,222.0,32.0,97.0,33.0,58.0,85.0,8.37e+23,23.0,,,,,,,c
1989-08-12,00:40:11.50,1.0,126.54,39.4,6.0,334.0,72.0,4.0,243.0,86.0,162.0,1.4099999999999999e+25,25.0,,,,,,,c
1989-09-06,14:45:53.52,1.032,126.052,45.8,5.98,24.0,59.0,121.0,154.0,43.0,49.0,1.13,18.0,-1.03,0.29,0.86,0.52,0.04,0.17,c
1989-10-18,18:41:25.63,2.099,126.562,49.0,5.57,206.0,59.0,110.0,351.0,37.0,61.0,2.77,17.0,-2.63,-0.88,2.21,-0.84,-0.52,0.42,c
1990-03-07,02:16:12.04,3.635,126.806,15.7,5.12,195.0,51.0,177.0,287.0,88.0,39.0,6.11,16.0,-2.62,0.38,-0.04,-3.95,3.89,2.66,c
1990-04-18,13:39:23.17,1.239,122.853,36.6,7.62,257.0,64.0,73.0,112.0,31.0,122.0,3.31,20.0,-0.25,-1.1,2.73,-1.76,0.32,-2.48,c
1990-04-18,18:33:02.96,1.291,122.975,25.0,6.48,268.0,67.0,86.0,98.0,24.0,99.0,6.54,18.0,-1.27,-0.45,5.4,-4.46,0.27,-4.13,c
1990-04-19,01:05:10.34,1.391,123.118,30.0,5.95,278.0,62.0,109.0,62.0,33.0,58.0,10.22,17.0,0.32,2.48,8.09,-5.24,-1.67,-8.42,c
1990-04-19,12:40:41.35,1.182,123.473,30.0,6.3,346.0,81.0,-43.0,85.0,48.0,-168.0,3.43,18.0,-0.48,-2.29,-0.69,0.04,-2.34,1.18,c
1990-04-19,12:40:43.40,1.34,122.92,40.5,6.3,85.0,48.0,-168.0,346.0,81.0,-43.0,3.43e+25,25.0,,,,,,,c
1990-04-21,05:14:06.02,1.226,123.357,35.3,5.47,278.0,64.0,110.0,59.0,32.0,56.0,1.99,17.0,0.71,0.15,1.24,-1.08,-0.4,-1.96,c
1990-04-22,23:51:54.13,0.964,120.09,29.6,5.23,16.0,21.0,21.0,266.0,83.0,110.0,8.88,16.0,0.77,-0.83,1.69,-8,-3.31,-2.46,c
1990-04-26,15:40:37.86,1.241,122.932,30.7,5.93,298.0,63.0,92.0,113.0,27.0,86.0,9.58,17.0,-2.04,2.73,8.27,-4.79,2.51,-6.23,c
