"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
// Latitude and longitude formated as spherical projection data
"// "
// Modern continental outlines from data file Modern.cno of EdGCM Global Climate
// Modeling software (2005) http://edgcm.columbia.edu/:
"// "
"// Chandler, M.A., S.J. Richards, and M.J. Shopsin, 2005: EdGCM: Enhancing climate "
"// science education through climate modeling research projects. In Proceedings of the "
"// 85th Annual Meeting of the American Meteorological Society, 14th Symposium on "
"// Education, Jan 8-14, 2005, San Diego, CA, pp. P1.5. http://edgcm.columbia.edu"
"// "
"// Note: This file contains NaN (Not a Number) values for latitude and longitude to "
"// indicate the end of a polygon. The original file used a single ""999"" value instead."
"// A type ""CO"" is assigned, and a comment column contains the polygon name."
"// "
// -------------------------------------------------------------------------------------
Longitude Sphere,Latitude Sphere,Type,Comment
-101.5,-73.5,CO,CO-01(AN)
-101.5,-73.7,CO,CO-01(AN)
-100.7,-74.0,CO,CO-01(AN)
-101.3,-74.3,CO,CO-01(AN)
-99.5,-74.8,CO,CO-01(AN)
-100.0,-75.0,CO,CO-01(AN)
-101.3,-74.8,CO,CO-01(AN)
-102.7,-74.6,CO,CO-01(AN)
-104.5,-74.6,CO,CO-01(AN)
-104.5,-74.9,CO,CO-01(AN)
-106.0,-75.1,CO,CO-01(AN)
-107.5,-75.1,CO,CO-01(AN)
-108.5,-74.7,CO,CO-01(AN)
-108.7,-75.2,CO,CO-01(AN)
-110.3,-75.0,CO,CO-01(AN)
-111.0,-74.5,CO,CO-01(AN)
-111.5,-74.0,CO,CO-01(AN)
-112.0,-73.7,CO,CO-01(AN)
-112.7,-74.0,CO,CO-01(AN)
-112.5,-74.5,CO,CO-01(AN)
-112.3,-75.0,CO,CO-01(AN)
-113.7,-75.3,CO,CO-01(AN)
-116.3,-75.2,CO,CO-01(AN)
-117.7,-74.7,CO,CO-01(AN)
-117.7,-74.2,CO,CO-01(AN)
-116.3,-73.8,CO,CO-01(AN)
-116.7,-73.7,CO,CO-01(AN)
-118.3,-73.7,CO,CO-01(AN)
-120.0,-73.6,CO,CO-01(AN)
-120.0,-74.0,CO,CO-01(AN)
-121.3,-73.7,CO,CO-01(AN)
-122.3,-73.3,CO,CO-01(AN)
-123.7,-73.3,CO,CO-01(AN)
-123.3,-73.8,CO,CO-01(AN)
-124.5,-74.3,CO,CO-01(AN)
-125.5,-74.7,CO,CO-01(AN)
-126.3,-75.2,CO,CO-01(AN)
-126.8,-75.7,CO,CO-01(AN)
-127.0,-76.0,CO,CO-01(AN)
-128.0,-76.0,CO,CO-01(AN)
-129.7,-75.8,CO,CO-01(AN)
-130.8,-75.4,CO,CO-01(AN)
-132.0,-75.0,CO,CO-01(AN)
-133.0,-74.8,CO,CO-01(AN)
-135.5,-74.8,CO,CO-01(AN)
