"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
// Latitude and longitude formated as spherical projection data
"// "
"// WorldEQ_1980-1990 - Earthquake epicenters 1980-1990, M greater than 4.5 "
"// "
//   and
"// "
// ModernCO - Modern continental outlines
"// "
// See those files for references.
"// "
// -------------------------------------------------------------------------------------
Longitude Sphere,Latitude Sphere,Type,Comment
156.6,61.1,EQ,
105.8,52.0,EQ,
141.6,37.0,EQ,
131.2,28.6,EQ,
-114.2,-22.2,EQ,
53.7,68.2,EQ,
164.4,-48.8,EQ,
141.9,46.2,EQ,
164.2,-49.4,EQ,
129.4,2.0,EQ,
125.4,11.3,EQ,
146.3,15.2,EQ,
161.3,-10.4,EQ,
-79.2,-3.0,EQ,
127.4,6.2,EQ,
143.4,42.6,EQ,
104.2,-5.2,EQ,
-177.2,-24.7,EQ,
179.8,-25.4,EQ,
79.0,50.0,EQ,
155.3,-6.8,EQ,
-177.0,-24.9,EQ,
20.9,38.9,EQ,
20.9,38.8,EQ,
134.4,13.6,EQ,
20.9,38.8,EQ,
108.8,54.0,EQ,
167.3,-14.7,EQ,
123.6,24.9,EQ,
-174.0,-17.1,EQ,
151.4,-5.7,EQ,
78.4,31.9,EQ,
-176.5,-24.5,EQ,
145.8,-5.6,EQ,
139.7,-3.9,EQ,
164.7,-49.2,EQ,
119.5,-9.4,EQ,
137.6,30.7,EQ,
137.3,44.6,EQ,
-16.5,-41.9,EQ,
26.3,35.4,EQ,
-173.6,-16.1,EQ,
-107.0,18.7,EQ,
-65.2,-20.5,EQ,
128.4,-3.9,EQ,
-17.0,-35.6,EQ,
145.6,18.5,EQ,
-175.3,-5.5,EQ,
-78.8,-34.2,EQ,
121.0,19.3,EQ,
139.8,-4.7,EQ,
-178.6,-31.9,EQ,
128.9,-1.9,EQ,
-73.7,-11.3,EQ,
-165.2,52.3,EQ,
140.6,33.6,EQ,
148.9,44.7,EQ,
-80.7,-3.9,EQ,
-116.3,37.3,EQ,
-176.1,-22.0,EQ,
-165.1,53.8,EQ,
145.5,16.6,EQ,
-88.3,12.6,EQ,
19.4,-52.6,EQ,
57.6,-32.8,EQ,
-176.3,-27.0,EQ,
91.4,34.5,EQ,
148.1,-6.9,EQ,
125.8,3.5,EQ,
57.7,29.9,EQ,
-86.1,16.7,EQ,
123.2,-6.9,EQ,
-14.8,-12.9,EQ,
-177.2,-25.9,EQ,
78.3,31.7,EQ,
154.7,-60.2,EQ,
-177.9,-20.6,EQ,
67.8,36.2,EQ,
-163.5,53.6,EQ,
-73.1,6.8,EQ,
125.4,11.3,EQ,
-172.8,-16.6,EQ,
164.7,-48.6,EQ,
-27.4,-55.9,EQ,
-68.3,-21.5,EQ,
-177.7,-20.1,EQ,
164.9,-49.0,EQ,
129.6,-7.1,EQ,
124.5,-0.2,EQ,
-24.8,-56.4,EQ,
-175.3,-20.3,EQ,
-30.7,1.8,EQ,
135.5,-10.3,EQ,
-30.6,1.7,EQ,
146.2,42.8,EQ,
102.8,-6.7,EQ,
126.1,9.4,EQ,
127.7,-7.6,EQ,
-98.5,16.2,EQ,
169.0,-20.1,EQ,
169.5,-21.4,EQ,
58.5,-31.8,EQ,
169.4,-21.4,EQ,
-176.3,-20.8,EQ,
169.5,-21.3,EQ,
-70.4,-20.3,EQ,
-76.9,-4.9,EQ,
165.1,-10.7,EQ,
167.1,-15.0,EQ,
124.6,2.4,EQ,
-29.4,-60.1,EQ,
-74.5,-13.2,EQ,
20.1,37.9,EQ,
-159.9,54.9,EQ,
159.7,53.0,EQ,
-173.5,-15.2,EQ,
154.9,-6.5,EQ,
79.9,-41.7,EQ,
-179.0,-30.3,EQ,
138.5,-1.2,EQ,
178.4,-25.2,EQ,
128.9,-7.3,EQ,
126.8,2.4,EQ,
146.5,-6.4,EQ,
-80.3,-3.1,EQ,
121.8,21.3,EQ,
146.9,-55.6,EQ,
20.1,37.9,EQ,
84.8,-41.8,EQ,
-178.6,-20.7,EQ,
78.1,49.7,EQ,
-114.2,-23.1,EQ,
125.9,1.5,EQ,
-30.6,1.4,EQ,
95.1,22.5,EQ,
142.0,7.8,EQ,
142.6,29.2,EQ,
55.8,27.1,EQ,
119.6,-8.3,EQ,
20.7,39.6,EQ,
179.5,-35.1,EQ,
124.9,10.2,EQ,
-178.9,-30.3,EQ,
156.0,-7.3,EQ,
156.1,-7.3,EQ,
-173.3,-16.5,EQ,
146.8,18.4,EQ,
127.8,3.0,EQ,
-178.0,-30.1,EQ,
112.8,-8.1,EQ,
-173.5,-15.3,EQ,
171.7,-22.3,EQ,
-101.1,-36.2,EQ,
177.5,-36.6,EQ,
-178.8,-31.0,EQ,
-79.8,2.8,EQ,
-18.8,-0.2,EQ,
-179.5,-22.9,EQ,
102.5,-5.2,EQ,
70.7,36.4,EQ,
124.7,-2.0,EQ,
-138.9,-22.0,EQ,
-176.9,51.7,EQ,
151.8,-6.3,EQ,
144.0,22.8,EQ,
130.3,-3.1,EQ,
-95.4,-37.2,EQ,
-179.3,-21.4,EQ,
142.1,41.4,EQ,
-170.6,52.4,EQ,
126.3,1.8,EQ,
-161.2,67.7,EQ,
-169.1,52.5,EQ,
134.8,-3.5,EQ,
-178.7,-32.8,EQ,
156.0,-7.4,EQ,
-173.2,50.2,EQ,
103.3,-5.7,EQ,
-178.6,-32.4,EQ,
78.5,-36.8,EQ,
160.5,-52.7,EQ,
167.6,-17.3,EQ,
-174.8,51.4,EQ,
167.5,-17.1,EQ,
121.7,0.5,EQ,
167.4,-16.9,EQ,
-174.8,51.4,EQ,
167.5,-17.6,EQ,
167.7,-17.6,EQ,
167.6,-17.6,EQ,
67.6,-1.3,EQ,
167.6,-17.2,EQ,
78.2,49.8,EQ,
22.8,34.9,EQ,
167.4,-17.4,EQ,
-174.5,-17.4,EQ,
26.3,45.6,EQ,
-66.2,-22.7,EQ,
150.1,45.4,EQ,
167.5,-17.1,EQ,
167.1,-17.3,EQ,
142.2,29.7,EQ,
123.3,-0.2,EQ,
53.3,39.5,EQ,
-98.4,16.3,EQ,
-98.4,16.5,EQ,
167.5,-15.4,EQ,
120.2,14.6,EQ,
128.2,3.5,EQ,
45.2,37.1,EQ,
169.5,-21.7,EQ,
169.6,-21.6,EQ,
-64.9,-17.0,EQ,
-177.6,-31.1,EQ,
-177.1,-19.2,EQ,
147.9,-5.7,EQ,
167.9,-16.2,EQ,
-101.9,18.2,EQ,
180.0,-23.9,EQ,
141.7,11.9,EQ,
-25.9,-56.0,EQ,
